Date,Exercise,Reps,Weight(kg),Duration(s),Distance(m),Incline,Resistance,isWarmup,Note,multiplier
2022-05-09 13:58:28 +0000,Deadlift, 10,20.41168092460379,0.0,0.0,0.0,0.0,true,, 1.0
2022-05-09 13:58:28 +0000,Deadlift, 10,61.235042773811365,0.0,0.0,0.0,0.0,true,, 1.0
2022-05-09 13:58:28 +0000,Deadlift, 3,102.05840462301894,0.0,0.0,0.0,0.0,true,, 1.0
2022-05-09 13:58:28 +0000,Deadlift, 3,142.88176647222653,0.0,0.0,0.0,0.0,false,, 1.0
2022-05-09 13:58:28 +0000,Deadlift, 3,142.88176647222653,0.0,0.0,0.0,0.0,false,, 1.0
2022-05-09 13:58:28 +0000,Deadlift, 5,142.88176647222653,0.0,0.0,0.0,0.0,false,, 1.0
2022-05-09 13:58:28 +0000,Deadlift, 5,142.88176647222653,0.0,0.0,0.0,0.0,false,, 1.0
2022-05-09 13:58:28 +0000,Deadlift, 5,142.88176647222653,0.0,0.0,0.0,0.0,false,, 1.0
2022-05-09 13:58:28 +0000,Leg Press, 8,122.47008554762273,0.0,0.0,0.0,0.0,true,, 1.0
2022-05-09 13:58:28 +0000,Leg Press, 4,163.29344739683032,0.0,0.0,0.0,0.0,true,, 1.0
2022-05-09 13:58:28 +0000,Leg Press, 8,204.1168092460379,0.0,0.0,0.0,0.0,false,, 1.0
2022-05-09 13:58:28 +0000,Leg Press, 8,204.1168092460379,0.0,0.0,0.0,0.0,false,, 1.0
2022-05-09 13:58:28 +0000,Leg Press, 8,204.1168092460379,0.0,0.0,0.0,0.0,false,, 1.0
2022-05-09 13:58:28 +0000,Leg Press, 8,204.1168092460379,0.0,0.0,0.0,0.0,false,, 1.0
2022-05-09 13:58:28 +0000,Machine Hip Adductor, 10,52.16318458509857,0.0,0.0,0.0,0.0,false,, 1.0
2022-05-09 13:58:28 +0000,Machine Hip Adductor, 10,52.16318458509857,0.0,0.0,0.0,0.0,false,, 1.0
2022-05-09 13:58:28 +0000,Machine Hip Adductor, 10,52.16318458509857,0.0,0.0,0.0,0.0,false,, 1.0
2022-05-09 13:58:28 +0000,Kettlebell Sumo Squat, 8,31.9783001152126,0.0,0.0,0.0,0.0,false,, 1.0
2022-05-09 13:58:28 +0000,Kettlebell Sumo Squat, 8,31.9783001152126,0.0,0.0,0.0,0.0,false,, 1.0
2022-05-09 13:58:28 +0000,Kettlebell Sumo Squat, 20,39.916176030336295,0.0,0.0,0.0,0.0,false,, 1.0
2022-05-09 13:58:28 +0000,Kettlebell Sumo Squat, 20,39.916176030336295,0.0,0.0,0.0,0.0,false,, 1.0
2022-05-08 21:20:13 +0000,Walking, 0,0.0,2859.3060290813446,1613.1544483688194,0.0,0.0,false,, 0.0
2022-05-07 14:07:27 +0000,Barbell Curl, 8,20.41168092460379,0.0,0.0,0.0,0.0,true,, 1.0
2022-05-07 14:07:27 +0000,Barbell Curl, 6,29.483539113316585,0.0,0.0,0.0,0.0,false,, 1.0
2022-05-07 14:07:27 +0000,Barbell Curl, 6,34.01946820767298,0.0,0.0,0.0,0.0,false,, 1.0
2022-05-07 14:07:27 +0000,Barbell Curl, 13,38.55539730202938,0.0,0.0,0.0,0.0,false,, 1.0
2022-05-07 14:07:27 +0000,Barbell Curl, 8,38.55539730202938,0.0,0.0,0.0,0.0,false,, 1.0
2022-05-07 14:07:27 +0000,Bent Over Barbell Row, 10,20.41168092460379,0.0,0.0,0.0,0.0,true,, 1.0
2022-05-07 14:07:27 +0000,Bent Over Barbell Row, 8,61.235042773811365,0.0,0.0,0.0,0.0,true,, 1.0
2022-05-07 14:07:27 +0000,Bent Over Barbell Row, 6,83.91468824559335,0.0,0.0,0.0,0.0,true,, 1.0
2022-05-07 14:07:27 +0000,Bent Over Barbell Row, 6,92.98654643430615,0.0,0.0,0.0,0.0,false,, 1.0
2022-05-07 14:07:27 +0000,Bent Over Barbell Row, 6,92.98654643430615,0.0,0.0,0.0,0.0,false,, 1.0
2022-05-07 14:07:27 +0000,Bent Over Barbell Row, 6,92.98654643430615,0.0,0.0,0.0,0.0,false,, 1.0
2022-05-07 14:07:27 +0000,Bent Over Barbell Row, 6,92.98654643430615,0.0,0.0,0.0,0.0,false,, 1.0
2022-05-07 14:07:27 +0000,Bent Over Barbell Row, 6,92.98654643430615,0.0,0.0,0.0,0.0,false,, 1.0
2022-05-07 14:07:27 +0000,Incline Dumbbell Curl, 9,13.607787283069193,0.0,0.0,0.0,0.0,false,, 2.0
2022-05-07 14:07:27 +0000,Incline Dumbbell Curl, 9,13.607787283069193,0.0,0.0,0.0,0.0,false,, 2.0
2022-05-07 14:07:27 +0000,Incline Dumbbell Curl, 9,13.607787283069193,0.0,0.0,0.0,0.0,false,, 2.0
2022-05-07 14:07:27 +0000,Straight-Arm Pulldown, 8,36.28743275485118,0.0,0.0,0.0,0.0,true,, 1.0
2022-05-07 14:07:27 +0000,Straight-Arm Pulldown, 6,58.96707822663317,0.0,0.0,0.0,0.0,false,, 1.0
2022-05-07 14:07:27 +0000,Straight-Arm Pulldown, 6,72.57486550970236,0.0,0.0,0.0,0.0,false,, 1.0
2022-05-07 14:07:27 +0000,Straight-Arm Pulldown, 12,83.91468824559335,0.0,0.0,0.0,0.0,false,, 1.0
2022-05-07 14:07:27 +0000,Straight-Arm Pulldown, 9,83.91468824559335,0.0,0.0,0.0,0.0,false,, 1.0
2022-05-07 14:07:27 +0000,Dumbbell Shrug, 6,34.01946820767298,0.0,0.0,0.0,0.0,false,, 2.0
2022-05-07 14:07:27 +0000,Dumbbell Shrug, 7,40.82336184920758,0.0,0.0,0.0,0.0,false,, 2.0
2022-05-07 14:07:27 +0000,Dumbbell Shrug, 12,47.62725549074217,0.0,0.0,0.0,0.0,false,, 2.0
2022-05-07 14:07:27 +0000,Dumbbell Shrug, 12,47.62725549074217,0.0,0.0,0.0,0.0,false,, 2.0
2022-05-06 13:28:06 +0000,Barbell Incline Bench Press, 8,20.41168092460379,0.0,0.0,0.0,0.0,true,, 1.0
2022-05-06 13:28:06 +0000,Barbell Incline Bench Press, 8,61.235042773811365,0.0,0.0,0.0,0.0,true,, 1.0
2022-05-06 13:28:06 +0000,Barbell Incline Bench Press, 4,74.84283005688056,0.0,0.0,0.0,0.0,false,, 1.0
2022-05-06 13:28:06 +0000,Barbell Incline Bench Press, 4,74.84283005688056,0.0,0.0,0.0,0.0,false,, 1.0
2022-05-06 13:28:06 +0000,Barbell Incline Bench Press, 4,74.84283005688056,0.0,0.0,0.0,0.0,false,, 1.0
2022-05-06 13:28:06 +0000,Barbell Incline Bench Press, 4,74.84283005688056,0.0,0.0,0.0,0.0,false,, 1.0
2022-05-06 13:28:06 +0000,Skullcrusher, 8,34.01946820767298,0.0,0.0,0.0,0.0,true,, 1.0
2022-05-06 13:28:06 +0000,Skullcrusher, 8,34.01946820767298,0.0,0.0,0.0,0.0,false,, 1.0
2022-05-06 13:28:06 +0000,Skullcrusher, 8,34.01946820767298,0.0,0.0,0.0,0.0,false,, 1.0
2022-05-06 13:28:06 +0000,Skullcrusher, 8,34.01946820767298,0.0,0.0,0.0,0.0,false,, 1.0
2022-05-06 13:28:06 +0000,Skullcrusher, 8,34.01946820767298,0.0,0.0,0.0,0.0,false,, 1.0
2022-05-06 13:28:06 +0000,Dumbbell Shoulder Raise, 11,13.607787283069193,0.0,0.0,0.0,0.0,false,, 2.0
2022-05-06 13:28:06 +0000,Dumbbell Shoulder Raise, 11,13.607787283069193,0.0,0.0,0.0,0.0,false,, 2.0
2022-05-06 13:28:06 +0000,Dumbbell Shoulder Raise, 11,13.607787283069193,0.0,0.0,0.0,0.0,false,, 2.0
2022-05-06 13:28:06 +0000,Machine Tricep Dip, 8,79.37875915123695,0.0,0.0,0.0,0.0,false,, 1.0
